incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,p_value_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,market_cap_at_disclosure,volume_ratio_disclosure,pre_incident_volatility_30d,post_incident_volatility_30d,days_to_price_recovery,industry_name
2021-1020-001,Nakamura Materials Corp.,9204366431.99,AT,31-33,92,30196,True,NAKA.VI,2021-10-20,False,2021-11-21,2021-12-29,ransomware,malware,,,,,,website,77.9,https://therecord.media/2021/07/14/nakamura-materials-corp-breached,,verified_media,4,94.46,Gold,,3798042.96,estimated,50000.0,28164.97,congressional testimony,3845502.4,1116455.37,,,8788165.7,estimated,6896017.98,14021688.74,10426967.09,CPI-U 2021 (270.97),78.24,74.41,69.57,67.42,70.13,199294.0,364234.0,S&P 500 Industrials,-0.016142,-0.065007,-0.093977,-0.057573,-0.06425,-0.093977,-0.057573,-0.010557,-4.0121,0.0002,-10.3365,0.0002,False,23710490060.29,1.8276,0.02313,0.033996,151.0,Manufacturing
2025-0818-001,MarketFresh Stores Corp.,108537488953.55,CA,44-45,,723769,True,MAR1.TO,2025-08-18,False,2025-08-26,2025-09-16,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,BlackBasta,suspected,143751.0,IP,HR_systems,134.16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001168099&type=8-K&dateb=20250225&owner=include&count=10,https://www.marketfresh-stores-corp.com/newsroom/2025/07/security-update,sec_filing,1,54.42,Bronze,low_quality_score,33032603.33,calculated,,,,21055688.46,1930962.57,,,56019254.36,disclosed,42714130.84,93238302.11,56019254.36,CPI-U 2025 (321.5),474.38,435.67,396.35,415.04,409.84,1201465.0,3700376.0,S&P 500 Consumer Discretionary,0.021834,-0.090252,-0.047341,-0.059287,-0.098151,-0.047341,-0.059287,-0.055955,-5.0588,0.0002,-2.1588,0.9206,False,565405877461.17,3.0799,0.015619,0.026574,298.0,Retail Trade
2025-0626-001,VectorWire Security Ltd.,901886399.41,AU,51,,1575,True,VECT.AX,2025-06-26,False,2025-07-08,2025-08-16,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Killnet,suspected,61262.0,credentials,"HR_systems,customer_database,VPN,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001307696&type=8-K&dateb=20250802&owner=include&count=10,https://www.vectorwire-security-ltd.com/newsroom/2025/01/security-update,sec_filing,1,60.26,Bronze,,2600000.0,calculated,,,,2805967.97,388901.26,50000.0,,5844869.23,calculated,4814181.33,8190526.89,5844869.23,CPI-U 2025 (321.5),14.27,14.24,13.86,14.15,14.2,343496.0,881166.0,S&P 500 Information Technology,-0.003939,-0.026375,-0.006312,-0.002686,-0.030196,-0.006312,-0.002686,-0.019773,-1.4498,1.0,-0.1844,1.0,True,7204249515.63,2.5653,0.018237,0.036146,8.0,Information/Tech
2023-1214-001,Bordeaux Insurance SA,17651968152.39,FR,52,,65575,True,BORD.PA,2023-12-14,False,2023-12-15,2023-12-27,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,Turla,probable,,,"email,SCADA,customer_database,HR_systems,cloud_infrastructure",,https://www.bordeaux-insurance-sa.com/newsroom/2023/10/security-update,,company_pr,2,79.68,Silver,,4758332.84,estimated,,,,1803463.66,1211370.56,,2516272.49,7773167.06,calculated,4790095.81,11678494.69,8201696.12,CPI-U 2023 (304.702),255.42,251.79,243.09,244.9,254.03,1498948.0,5260039.0,S&P 500 Financials,-0.018686,-0.034562,-0.027363,0.00891,-0.037183,-0.027363,0.00891,-0.010062,-4.4273,0.0002,0.1802,1.0,False,108959470452.3,3.5092,0.025771,0.046188,57.0,Finance & Insurance
2025-0810-001,Forge Shop Outlets Co.,107194946506.97,US,44-45,,830594,True,FSO,2025-08-10,False,2025-08-24,2025-10-16,ransomware,data_breach,,Hunters_International,unknown,,,"website,HR_systems,manufacturing_OT",106.43,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001161684&type=8-K&dateb=20251019&owner=include&count=10,https://www.mandiant.com/resources/blog/forge-shop-outlets-c-incident-response-2025,sec_filing,1,99.23,Gold,,36626897.89,calculated,2937382.61,1055021.6,congressional testimony,24374587.93,6814919.29,,24265447.12,68871426.71,disclosed,49319554.53,94431346.62,68871426.71,CPI-U 2025 (321.5),732.51,714.15,695.04,685.36,686.65,465360.0,1856750.0,S&P 500 Consumer Discretionary,0.00248,-0.026753,-0.040311,-0.038507,-0.027647,-0.040311,-0.038507,-0.035353,-1.392,1.0,-1.5855,1.0,True,479375712261.15,3.9899,0.017222,0.027986,54.0,Retail Trade
2025-1201-001,Wolverine Risk Bancorp Co.,307240029.02,US,52,,621,True,WRB,2025-12-01,False,2026-01-02,2026-02-02,phishing,,,,,4291.0,PII,active_directory,,https://www.mandiant.com/resources/blog/wolverine-risk-banco-incident-response-2025,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001833510&type=8-K&dateb=20250712&owner=include&count=10,cybersecurity_firm,3,75.45,Silver,,6859602.15,estimated,,,,7259803.24,1564794.58,,6194056.42,15684199.97,disclosed,11617774.15,22878231.79,15684199.97,CPI-U 2025 (321.5),8.99,9.26,9.29,9.33,9.38,1561913.0,2543400.0,S&P 500 Financials,0.028603,0.003605,0.00768,0.012503,0.00375,0.00768,0.012503,0.017186,0.1918,1.0,0.5896,1.0,False,2101767096.58,1.6284,0.017266,0.02789,,Finance & Insurance
2021-0312-001,LinkSignal Labs Group Ltd.,2346673709.12,AU,51,,5401,False,,2021-03-12,False,2021-03-30,2021-04-23,phishing,,,FIN7,probable,5344.0,mixed,"SCADA,cloud_infrastructure,website",,https://therecord.media/2021/05/18/linksignal-labs-group-ltd-breached,https://www.linksignal-labs-group-ltd.com/newsroom/2021/05/security-update,verified_media,3,74.72,Silver,,256050.66,estimated,,,,302688.88,75666.36,,,634405.9,estimated,426709.76,848175.14,752708.78,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2023-0512-001,Gallagher Administration Group Inc.,826792409.83,US,92,51,5756,False,,2023-05-12,True,2023-06-12,2023-06-27,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Vice_Society,suspected,13561.0,IP,"ERP,HR_systems,VPN,customer_database",235.57,https://www.gallagher-administration-.com/newsroom/2023/08/security-update,,company_pr,2,74.28,Silver,,666313.76,calculated,416057.78,,,221686.5,200467.8,,570903.24,1088468.06,disclosed,890445.97,1456537.38,1148474.51,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration/Government
2022-0227-001,Harbor Prime Group Group PLC,1522942145.8,GB,44-45,,12948,True,HARB.L,2022-02-27,True,2022-03-11,2022-03-29,data_breach,supply_chain,,,,4046.0,PII,"SSO,active_directory,manufacturing_OT,file_servers",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001193757&type=8-K&dateb=20221104&owner=include&count=10,,sec_filing,1,83.94,Silver,,4706515.66,calculated,,,,4392126.68,674412.56,,,9773054.9,disclosed,6584687.61,15143412.5,10736318.02,CPI-U 2022 (292.655),20.04,20.17,19.61,20.0,20.19,1498625.0,3477250.0,S&P 500 Consumer Discretionary,0.005274,-0.027774,-0.008369,0.000772,-0.029445,-0.008369,0.000772,-0.01149,-2.1189,0.94055,0.0423,1.0,False,7336682108.12,2.3203,0.034261,0.051669,37.0,Retail Trade
2024-1210-001,Coleman Rail SA,8988470795.46,CH,48-49,,45206,True,COLE.SW,2024-12-10,False,2025-02-13,2025-02-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,DarkSide,suspected,8233944.0,mixed,"active_directory,customer_database,VPN",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001677255&type=8-K&dateb=20241124&owner=include&count=10,,sec_filing,1,83.28,Silver,,8234612.8,calculated,,,,8657373.3,2279784.05,,9768917.73,19171770.15,disclosed,13535883.37,26773946.5,19586653.86,CPI-U 2024 (314.69),64.2,61.67,57.47,57.37,59.03,77481.0,202698.0,S&P 500 Industrials,-0.007967,-0.068067,-0.069748,-0.042848,-0.077325,-0.069748,-0.042848,-0.049226,-3.5981,0.20095,-1.5156,1.0,False,45018205506.22,2.6161,0.032632,0.058687,101.0,Transportation/Warehousing
2025-1022-001,Brooks Consulting Co.,4675299195.72,US,54,,16667,False,,2025-10-22,False,2025-11-02,2025-12-22,ransomware,,,Play,probable,125179.0,mixed,"HR_systems,backup_systems",39.44,https://therecord.media/2025/11/13/brooks-consulting-co-breached,,verified_media,4,74.47,Silver,,8439272.35,estimated,841285.02,,,2923220.19,1376870.6,,2374517.47,12739363.14,estimated,10206301.99,19515804.9,12739363.14,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Professional/Scientific Services
2024-0722-001,Gallagher Bank Inc.,4256767662.67,US,52,,10084,False,,2024-07-22,False,2024-10-24,2024-11-11,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Scattered_Spider,unknown,220581.0,mixed,"file_servers,backup_systems",64.41,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001980165&type=8-K&dateb=20240518&owner=include&count=10,,sec_filing,1,74.4,Silver,,1000000.0,estimated,,,,1125209.45,212641.06,,390215.02,2337850.51,estimated,1897573.28,4124838.62,2388442.4,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2023-1119-001,Canberra Sciences Pty Ltd.,205226510.32,AU,62,,1087,False,,2023-11-19,False,2023-12-01,2023-12-11,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1360.0,health,manufacturing_OT,,https://unit42.paloaltonetworks.com/threat-brief-canberra-sciences-pt-2023/,,cybersecurity_firm,3,92.53,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2022-0219-001,FundRisk Bank Technologies Ltd.,61550130971.46,IL,52,,123675,True,FBT.TA,2022-02-19,False,2022-03-06,2022-03-21,ransomware,,,Hunters_International,probable,356997.0,credentials,ERP,33.7,https://www.mandiant.com/resources/blog/fundrisk-bank-techno-incident-response-2022,,cybersecurity_firm,3,81.69,Silver,,22214980.08,disclosed,2428507.3,,,12952138.1,7518454.67,,,42685572.85,disclosed,33216967.31,60139379.74,46892797.56,CPI-U 2022 (292.655),350.55,358.94,345.65,352.19,358.71,1019823.0,2939735.0,S&P 500 Financials,0.019177,-0.037029,-0.018818,-0.00063,-0.036574,-0.018818,-0.00063,0.003164,-2.5052,0.7474,-0.0632,1.0,False,210499393661.11,2.8826,0.017393,0.020283,22.0,Finance & Insurance
2024-0718-001,Vertex Vista Technologies Pvt. Ltd.,8402494685.27,IN,51,,18988,True,VVT.NS,2024-07-18,False,2024-07-25,2024-08-01,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Play,probable,1134910.0,financial,SCADA,,https://blog.talosintelligence.com/2024/06/vertex-vista-technol-campaign.html,https://www.bleepingcomputer.com/news/security/vertex-vista-technologies-hit-by-cyberattack-2024/,cybersecurity_firm,3,84.79,Silver,,6655022.88,estimated,,,,2808024.17,346262.24,,,9809309.29,estimated,6817200.09,16778126.12,10021586.12,CPI-U 2024 (314.69),97.63,91.89,90.99,90.79,90.95,6239618.0,24455606.0,S&P 500 Information Technology,-0.004043,-0.009839,-0.012,-0.010211,-0.011718,-0.012,-0.010211,-0.014181,-0.6125,1.0,-0.8124,1.0,False,63509722451.51,3.9194,0.015994,0.031949,16.0,Information/Tech
2025-0825-001,Atlas Element MedTech S.p.A.,10118710778.4,IT,62,,63912,True,AEM.MI,2025-08-25,False,2025-11-24,2025-12-12,data_breach,ddos,,APT28,probable,23023.0,PII,"SCADA,active_directory,manufacturing_OT,VPN",,https://www.bleepingcomputer.com/news/security/atlas-element-medtech-spa-hit-by-cyberattack-2025/,,verified_media,4,83.34,Silver,,19500000.0,estimated,,,,6627406.97,6729108.0,,17293743.72,32856514.97,disclosed,27646430.92,46978117.08,32856514.97,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2023-0601-001,Eindhoven Agency N.V.,1330577929.75,NL,92,,14167,False,,2023-06-01,False,2023-06-15,2023-06-20,malware,,,DarkSide,probable,1000.0,credentials,"email,VPN,CRM",420.72,https://www.aepd.es/decisions/2023/12/INQ-2023-00026,https://www.eindhoven-agency-nv.com/newsroom/2023/06/security-update,gdpr_notification,1,76.88,Silver,,2061300.54,calculated,,,,1452428.45,368696.28,,1122690.29,3882425.27,estimated,3012528.81,6473576.21,4096460.56,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration/Government
2024-0706-001,Atlanta Builders Group Inc.,131344615.21,US,23,,917,False,,2024-07-06,False,2024-07-16,2024-07-29,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,,"ERP,file_servers,SSO,cloud_infrastructure,SCADA",327.76,https://krebsonsecurity.com/2024/10/atlanta-builders-gro-breach-exposes-data/,https://www.ico.org.uk/decisions/2024/05/INQ-2024-00027,verified_media,4,90.83,Gold,,6839661.26,calculated,,,,3118279.01,684374.16,,6076682.86,10642314.43,calculated,8033377.6,18225915.42,10872617.78,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Construction
2022-0716-001,Indigo Grid Corp Corp.,472599840.83,JP,22,,2005,False,,2022-07-16,False,2023-01-16,2023-02-21,data_breach,,,REvil,suspected,67418.0,PII,"SCADA,CRM,VPN,cloud_infrastructure",,https://www.mandiant.com/resources/blog/indigo-grid-corp-cor-incident-response-2022,https://www.indigo-grid-corp-corp.com/newsroom/2022/09/security-update,cybersecurity_firm,3,76.58,Silver,,92156968.96,estimated,,,,63159811.4,21642636.55,,,176959416.91,estimated,141808220.16,269075344.82,194401095.27,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities
2022-1227-001,Takahashi Sciences Holdings Inc.,10092452867.3,US,62,,64897,False,,2022-12-27,True,2023-01-07,2023-01-22,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,112824.0,mixed,"CRM,SSO",18.65,https://www.bfdi.bund.de/decisions/2022/11/INQ-2022-00029,https://blog.talosintelligence.com/2022/11/takahashi-sciences-h-campaign.html,gdpr_notification,1,79.44,Silver,,116114353.03,calculated,,,,69036990.63,5891865.86,,,191043209.52,estimated,149535821.53,276629042.26,209873030.91,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2021-1001-001,Ottawa Solutions Corp.,588367670.93,CA,56,52,20229,False,,2021-10-01,True,2021-10-11,2021-12-02,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,6094.0,credentials,"email,ERP,customer_database,cloud_infrastructure",320.38,https://therecord.media/2021/03/21/ottawa-solutions-corp-breached,https://www.ottawa-solutions-corp.com/newsroom/2021/02/security-update,verified_media,4,94.97,Gold,,23400000.0,disclosed,404647.94,237079.86,insurance claim record,21340436.19,1235194.37,,,46212710.42,disclosed,39143955.42,65830193.48,54830373.84,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative/Support Services
2021-1016-001,Novak Power GmbH,486061480.5,DE,22,52,1169,False,,2021-10-16,False,2021-10-21,2021-11-02,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Rhysida,probable,73945.0,mixed,"file_servers,active_directory,backup_systems,customer_database",,https://www.aepd.es/decisions/2021/04/INQ-2021-00031,,gdpr_notification,1,81.61,Silver,,6575299.8,estimated,,,,3721539.77,436407.51,,,10733247.08,estimated,7767886.29,13129802.77,12734763.76,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities
2024-0107-001,Compass Mold Materials S.A.,13786299333.98,BR,31-33,,46925,True,CMM.SA,2024-01-07,False,2024-07-07,2024-07-19,backdoor,,Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,Cuba_Ransomware,confirmed,,,payment_systems,,https://www.bfdi.bund.de/decisions/2024/01/INQ-2024-00032,,gdpr_notification,1,77.47,Silver,,15844523.78,estimated,,,,12044598.64,1758096.45,,10239134.02,29647218.87,estimated,22489596.42,50176204.48,30288794.9,CPI-U 2024 (314.69),88.61,86.98,82.67,82.59,85.97,322000.0,1186135.0,S&P 500 Industrials,-0.007038,-0.049546,-0.05051,-0.011652,-0.057794,-0.05051,-0.011652,0.011537,-4.0269,0.0002,-0.4269,1.0,True,67622520282.55,3.6836,0.017888,0.035374,45.0,Manufacturing
2023-0913-001,Meridian Crest Education Group PLC,168368637.62,GB,61,,2843,False,,2023-09-13,False,2023-12-13,2023-12-31,data_breach,,,Vice_Society,suspected,202763.0,health,"customer_database,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001687554&type=8-K&dateb=20231224&owner=include&count=10,https://unit42.paloaltonetworks.com/threat-brief-meridian-crest-educa-2023/,sec_filing,1,86.17,Gold,,4198928.35,calculated,,,,2496560.31,906663.76,124757.91,3507319.63,7726910.33,estimated,5532326.18,11857709.7,8152889.29,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Education
